question,answer,supporting_facts/0,supporting_facts/1,graph_path/0,graph_path/1,graph_path/2,graph_path/3,template,Corrected Questions,Comment 
"Which personality, famous for who first became known for the hit song kabhi kabhi aditi from, is located in the capital city of the state where the historic site “Abids” (known for central commercial district named after the british resident albert abid) is associated?",Rashid Ali (singer),A central commercial district named after the British resident Albert Abid.,"A singer, guitarist, musician and composer, who first became known for the hit song Kabhi Kabhi Aditi from Jaane Tu Ya Jaane Na.",history:abids,state:telangana,city:hyderabad,personalities:rashid_ali_singer,cap_v1,"Which personality, famous for first gaining recognition with the hit song “Kabhi Kabhi Aditi,” is associated with the capital city of the same state where the historic site “Abids” is located?","Clarified the sentence structure , removed (known for central commercial district named after the british resident albert abid) , replaced associated with replaced . "
"Which palace, famous for this was built after he gave the famous falaknuma palace to the, is located in the capital city of the state where the religious tradition “Birla Mandir, Hyderabad” (known for hindu temple built on a 280 feet (85 m) high hillock called) is associated?",Paigah Palace,"A Hindu temple built on a 280 feet (85 m) high hillock called Naubath Pahad on a 13 acres (53,000 m2)","A palace was built by Sir Vicar-ul-Umra, a Paigah nobleman. This was built after he gave the famous Falaknuma Palace to the sixth Nizam, Mahbub Ali Khan, Asaf Jah VI.",religion:birla_mandir_hyderabad,state:telangana,city:hyderabad,history:paigah_palace,cap_v1,"Which palace, famous for being built by the noble Paigah family after the gifting of Falaknuma Palace, is located in the capital city of the same state where the religious site “Birla Mandir”  is situated?","Clarified sentence structure, specified the connection to the Paigah family, corrected grammar, and streamlined wording to clearly point to Paigah Palace , removed  (known for viceroy of the deccanâ€”(administrator of six mughal governorates) under the mughal emperors)"
"Which sport, famous for indian former international cricketer and a former cricket commentator and pundit, is located in the capital city of the state where the historic polity “Asaf Jahi dynasty” (known for viceroy of the deccanâ€”(administrator of six mughal governorates) under the mughal emperors) is associated?",VVS Laxman,"A Muslim dynasty founded by Mir Qamar-ud-Din Siddiqi, a Viceroy of the Deccanâ€”(administrator of six Mughal governorates) under the Mughal emperors from 1713 to 1721.","An Indian former international cricketer and a former cricket commentator and pundit.A right-handed batsman known for his elegant stroke play,played as a middle-order batsman in Test cricket,currently the Head of Cricket at the National Cricket Academy (NCA), and the head coach of the India Under-19 and India A teams.",history:asaf_jahi_dynasty,state:telangana,city:hyderabad,sports:vvs_laxman,cap_v1,"Which personality, famous as an Indian former international cricketer and cricket commentator, is associated with the capital city of the  same state where the historic polity “Asaf Jahi dynasty”  was established?","Clarified sentence structure, replaced “sport” with “personality,” and streamlined wording to clearly point to VVS Laxman , removed (known for viceroy of the deccanâ€”(administrator of six mughal governorates) under the mughal emperors)"
"Which tourist attraction, famous for zoo located near mir alam tank in bahadurpura, is located in the capital city of the state where the palace “Basheer Bagh Palace” (known for former royal palace of the paigah nobles) is associated?",Nehru Zoological Park,"A former royal palace of the Paigah nobles, built in the eighteenth century near Hussain Sagar.",A zoo located near Mir Alam Tank in Bahadurpura.It is one of the most visited destinations.,history:basheer_bagh_palace,state:telangana,city:hyderabad,tourism:nehru_zoological_park,cap_v1,"Which tourist attraction, famous as a  zoo located near Mir Alam Tank in Bahadurpura, is located in the capital city of the same state where the “Basheer Bagh Palace” is situated?","Removed  (known for former royal palace of the paigah nobles)  , replaced associated with situated , and corrected grammar for clarity "
"Which tourist attraction, famous for about 8 kilometers north of secunderabad, is located in the capital city of the state where the personality “Hussain Sagar” (known for it is spread across an area of 5) is associated?",Alwal Lake,"A heart-shaped lake ,built by Ibrahim Quli Qutb Shah in 1562. It is spread across an area of 5.7 square kilometres (2.2 sq mi) and is fed by the River Musi.The maximum depth of the lake is 32 feet (9.8 m).","An artificial lake,about 8 kilometers north of Secunderabad. There were many issues associated with the lake, which made a highly tensed situation for the Alwal Municipality Officials.",personalities:hussain_sagar,state:telangana,city:hyderabad,tourism:alwal_lake,cap_v1,"Which tourist attraction, famous as a artificial lake, about 8 kilometers north of secunderabad, is located in the capital city of the same state where the  “Hussain Sagar lake"" is associated?","Added artificial lake  for precision , removed personality as it was incorrect and removed  (known for it is spread across an area of 5)"
"Which historic site, famous for situated close to charminar and chowmahalla palace, is located in the capital city of the state where the tourist attraction “Makkah Masjid, Hyderabad” (known for built during the 17th century and is a state-protected monument) is associated?",Dewan Devdi,"The largest mosque,built during the 17th century and is a state-protected monument.","The palace of the nobles, the Salar Jungs, situated close to Charminar and Chowmahalla Palace .The word Diwan means Prime Minister, and Devdi refers to mansions of Hyderabadi noblemen.",tourism:makkah_masjid_hyderabad,state:telangana,city:hyderabad,history:dewan_devdi,cap_v1,"Which historic site, situated close to Charminar and Chowmahalla Palace, is located in the capital city of the same state where the tourist attraction “Makkah Masjid, Hyderabad"" is located?","Clarified sentence structure, corrected grammar, and streamlined wording while maintaining location and historical context to clearly point to Dewan Devdi."
"Which historic site, famous for european styled architectural palace was built, is located in the capital city of the state where the personality “Rashid Ali (singer)” (known for who first became known for the hit song kabhi kabhi aditi from) is associated?",Khursheed Jah Devdi,"A singer, guitarist, musician and composer, who first became known for the hit song Kabhi Kabhi Aditi from Jaane Tu Ya Jaane Na.","A European styled architectural palace was built by the Ancestors of Paigah noble Amir-Paigah Khursheed Jah Bahadur Shams-ul-Umra IV,Its interiors were once adorned with expensive carpets and exclusive chandeliers. It is located at Hussaini Alam.",personalities:rashid_ali_singer,state:telangana,city:hyderabad,history:khursheed_jah_devdi,cap_v1,"Which historic site, famous for its European-styled architectural palace, is located in the capital city of the  same state where the personality “Rashid Ali (singer)” is associated?","Removed the detailed note “(who first became known for the hit song Kabhi Kabhi Aditi from Jaane Tu Ya Jaane Na)” after Rashid Ali (singer) ,Replaced “capital city of the state where” with “capital city of the same state where” for smoother wording , corrected grammar ( added its)"
"Which historic polity, famous for viceroy of the deccanâ€”(administrator of six mughal governorates) under the mughal emperors, is located in the capital city of the state where the personality “Tabu (actress)” (known for indian actress who works primarily in hindi and telugu films) is associated?",Asaf Jahi dynasty,"An Indian actress who works primarily in Hindi and Telugu films,regarded as one of Hindi cinema's most accomplished actresses.She has often played troubled women, from fictional to literary, in both mainstream and independent cinema","A Muslim dynasty founded by Mir Qamar-ud-Din Siddiqi, a Viceroy of the Deccanâ€”(administrator of six Mughal governorates) under the Mughal emperors from 1713 to 1721.",personalities:tabu_actress,state:telangana,city:hyderabad,history:asaf_jahi_dynasty,cap_v1,"Which historic polity, renowned for the Viceroy of the Deccan,administrator of six Mughal governorates under the Mughal emperors ,is located in the capital city of the same state  where the personality “Tabu (actress)” was born ?","corrected punctuation spacing, refined phrasing for grammatical flow , replaced assoicated with born , and removed  (known for indian actress who works primarily in hindi and telugu films)"
"Which palace, famous for royal palace where the erstwhile ruler of sir mir osman ali khan, is located in the capital city of the state where the tourist attraction “Lumbini Park” (known for urban park of 3 hectares (7) is associated?",King Kothi Palace,"A small public, urban park of 3 hectares (7.5 acres) located in the centre of the city and is in close proximity to other tourist attractions, such as Birla Mandir and Necklace Road, it attracts many visitors throughout the year. Boating is one of the best attractions and people go to the Buddha idol placed in the middle of the Tank Band in the boats.","A royal palace where the erstwhile ruler of Sir Mir Osman Ali Khan, the seventh Nizam, lived.It was a palace bought by his father Mahboob Ali Pasha, who had a penchant for buying ostentatious homes.",tourism:lumbini_park,state:telangana,city:hyderabad,history:king_kothi_palace,cap_v1,"Which palace, famous as the royal residence of Sir Mir Osman Ali Khan, is located in the capital city of the same state where the tourist attraction ""Lumbini Park"" is associated?""","Replaced “where the erstwhile ruler of sir mir osman ali khan” with “as the royal residence of Sir Mir Osman Ali Khan” for grammatical clarity and smoother phrasing , removed (known for urban park of 3 hectares (7) "
"Which personality, famous for indian politician currently representing the gajwel assembly constituency and serving as the, is located in the capital city of the state where the tourist attraction “Nehru Zoological Park” (known for zoo located near mir alam tank in bahadurpura) is associated?",K Chandrasekhar Rao,A zoo located near Mir Alam Tank in Bahadurpura.It is one of the most visited destinations.,An Indian politician currently representing the Gajwel Assembly constituency and serving as the leader of the opposition in the Telangana Legislative Assembly.He is the founder and leader of the Bharat Rashtra Samithi,tourism:nehru_zoological_park,state:telangana,city:hyderabad,personalities:k_chandrasekhar_rao,cap_v1,"Which personality, famous as the Indian politician currently representing the Gajwel Assembly constituency, is associated with the capital city of the same state where the tourist attraction ""Nehru Zoological Park"" is located?","Replaced “famous for indian politician currently representing the gajwel assembly constituency and serving as the,” with “famous as the Indian politician currently representing the Gajwel Assembly constituency,” for grammatical correctness and smoother phrasing , removed unwanted brackets "
"Which mosque, famous for located near purana pul, is located in the capital city of the state where the historic site “Charminar” (known for charminar's long history includes the existence of a mosque on its top) is associated?",Mian Mishk Mosque,"A monument ,the Charminar's long history includes the existence of a mosque on its top floor for more than 434 years","A former mosque,located near Purana Pul",history:charminar,state:telangana,city:hyderabad,religion:mian_mishk_mosque,cap_v1,"Which mosque, famous for its location near Purana Pul, is situated in the capital city of the same state where the historic site ""Charminar"" is associated?","Rephrased “famous for located near purana pul” to “famous for its location near Purana Pul” for grammatical correctness , removed  (known for charminar's long history includes the existence of a mosque on its top)"
"Which historic site, famous for sprawling 19th-century european-style palace built, is located in the capital city of the state where the personality “Sushmita Sen” (known for indian actress and beauty pageant titleholder) is associated?","Bella Vista, Hyderabad","An Indian actress and beauty pageant titleholder, who was crowned Miss Universe 1994,becoming the first Indian woman to win the title. Sen has since predominantly worked in Hindi films, and is a recipient of a Filmfare Award and a Filmfare OTT Award.",A sprawling 19th-century European-style palace built by the Paigah nobility.,personalities:sushmita_sen,state:telangana,city:hyderabad,history:bella_vista_hyderabad,cap_v1,"Which historic site, famous for its sprawling 19th-century European-style palace, is located in the capital city of the same state where the personality ""Sushmita Sen"" was born ?","Replaced “built” with “palace” to complete the phrase “European-style palace” grammatically , replaced associated with born for clarity"
"Which sport, famous for indian former international cricketer and a former cricket commentator and pundit, is located in the capital city of the state where the dish “Qubani ka Meetha” (known for made with apricots and custard) is associated?",VVS Laxman,"A typical dessert made with apricots and custard, containing a mildly sour-smelling sweet apricot puree with Indian spices like cardamom and saffron and is served over creamy vanilla custard, on top of which the crunchy dry fruit garnish makes this dessert regal and scrumptious.","An Indian former international cricketer and a former cricket commentator and pundit.A right-handed batsman known for his elegant stroke play,played as a middle-order batsman in Test cricket,currently the Head of Cricket at the National Cricket Academy (NCA), and the head coach of the India Under-19 and India A teams.",cuisine:qubani_ka_meetha,state:telangana,city:hyderabad,sports:vvs_laxman,cap_v1,"Which personality, famous as an Indian former international cricketer and cricket commentator, is associated with the capital city of the  same state where the dish “Qubani ka Meetha” is associated?","Removed (known for made with apricots and custard) , Clarified sentence structure, replaced “sport” with “personality,” and streamlined wording to clearly point to VVS Laxman."
"Which tourist attraction, famous for built during the 17th century and is a state-protected monument, is located in the capital city of the state where the personality “Tabu (actress)” (known for indian actress who works primarily in hindi and telugu films) is associated?","Makkah Masjid, Hyderabad","An Indian actress who works primarily in Hindi and Telugu films,regarded as one of Hindi cinema's most accomplished actresses.She has often played troubled women, from fictional to literary, in both mainstream and independent cinema","The largest mosque,built during the 17th century and is a state-protected monument.",personalities:tabu_actress,state:telangana,city:hyderabad,tourism:makkah_masjid_hyderabad,cap_v1,"Which tourist attraction, famous for being built during the 17th century and recognized as a state-protected monument, is located in the capital city of the same state where the personality ""Tabu ( actress) was born?","Rephrased “famous for built during the 17th century” to “famous for being built during the 17th century” for grammatical accuracy , replaced associated with born , removed unwanted brackets "
"Which mosque, famous for located near purana pul, is located in the capital city of the state where the tourist attraction “Shamirpet Lake” (known for artificial lake about 24 kilometres (15 mi) north of secunderabad) is associated?",Mian Mishk Mosque,An artificial lake about 24 kilometres (15 mi) north of Secunderabad.,"A former mosque,located near Purana Pul",tourism:shamirpet_lake,state:telangana,city:hyderabad,religion:mian_mishk_mosque,cap_v1,"Which mosque, famous for its location near Purana Pul, is situated in the capital city of the same state where the tourist attraction “Shamirpet Lake”  is associated?",Rephrased “famous for located near purana pul” to “famous for its location near Purana Pul” for grammatical correctness (known for artificial lake about 24 kilometres (15 mi) north of secunderabad)
"Which costume, famous for traditional wedding dress of hyderabadi muslim brides in the indian subcontinent, is located in the capital city of the state where the historic site “Charminar” (known for charminar's long history includes the existence of a mosque on its top) is associated?",Khara dupatta,"A monument ,the Charminar's long history includes the existence of a mosque on its top floor for more than 434 years","The traditional wedding dress of hyderabadi Muslim brides in the Indian subcontinent. It is an elaborate wedding ensemble comprising a kurta (tunic), chooridaar (extra-long slim pants that gather at the ankles), and a 6-yard dupatta (stole or veil).",history:charminar,state:telangana,city:hyderabad,costume:khara_dupatta,cap_v1,"Which costume, famous as the traditional wedding dress of Hyderabadi Muslim brides in the Indian subcontinent, is associated with the capital city of the same state where the historic site ""Charminar"" is located?""","Rephrased “famous for traditional wedding dress of hyderabadi muslim brides” to “famous as the traditional wedding dress of Hyderabadi Muslim brides” for grammatical clarity , -Refined “is located in the capital city of the state where…” to “is associated with the capital city of the state where…” to better suit cultural attire context."
"Which personality, famous for indian politician and a former cricketer who also served as the indian, is located in the capital city of the state where the tourist attraction “NTR Gardens” (known for urban park of 15 hectares (36 acres) adjacent to hussain sagar lake) is associated?",Mohammad Azharuddin,"A small public, urban park of 15 hectares (36 acres) adjacent to Hussain Sagar lake, where earlier a thermal power station building stood until 1995.","An Indian politician and a former cricketer who also served as the Indian national cricket team's captain. He was a right-handed middle order batter and an occasional medium fast bowler. He played 99 Test matches and 334 One Day Internationals for India. As a captain, he led the team to wins in the 1990-91 and 1995 Asia Cups and reached the semi-finals of the 1996 Cricket World Cup. He was considered as one of the best ODI batsmen in the world and one of the greatest of his era.",tourism:ntr_gardens,state:telangana,city:hyderabad,personalities:mohammad_azharuddin,cap_v1,"Which personality, famous as an Indian politician and former cricketer who also served as the Indian team captain, is associated with the capital city of the same state where the tourist attraction ""NTR Gardens"" is located?","Rephrased “famous for indian politician and a former cricketer who also served as the indian” to “famous as an Indian politician and former cricketer who also served as the Indian team captain” for clarity and completeness, removed unwanted brackets ."
"Which personality, famous for indian politician currently representing the gajwel assembly constituency and serving as the, is located in the capital city of the state where the historic site “Purani Haveli” (known for official residence of the nizam) is associated?",K Chandrasekhar Rao,"A Haveli ,official residence of the Nizam,was constructed for Sikander Jah, Asaf Jah III (1803â€“1829) by his father Ali Khan Bahadur, Asaf Jah II.",An Indian politician currently representing the Gajwel Assembly constituency and serving as the leader of the opposition in the Telangana Legislative Assembly.He is the founder and leader of the Bharat Rashtra Samithi,history:purani_haveli,state:telangana,city:hyderabad,personalities:k_chandrasekhar_rao,cap_v1,"Which personality, famous as the Indian politician currently representing the Gajwel Assembly constituency, is associated with the capital city same state where  the historic site “Purani Haveli” is situated?","Replaced “famous for indian politician currently representing the gajwel assembly constituency and serving as the,” with “famous as the Indian politician currently representing the Gajwel Assembly constituency,” for grammatical correctness and smoother phrasing , removed (known for official residence of the nizam)"
"Which personality, famous for it is spread across an area of 5, is located in the capital city of the state where the palace “Basheer Bagh Palace” (known for former royal palace of the paigah nobles) is associated?",Hussain Sagar,"A former royal palace of the Paigah nobles, built in the eighteenth century near Hussain Sagar.","A heart-shaped lake ,built by Ibrahim Quli Qutb Shah in 1562. It is spread across an area of 5.7 square kilometres (2.2 sq mi) and is fed by the River Musi.The maximum depth of the lake is 32 feet (9.8 m).",history:basheer_bagh_palace,state:telangana,city:hyderabad,personalities:hussain_sagar,cap_v1,"Which tourist attraction, famous for being spread across an area of 5.7 square kilometers and known for its iconic Buddha statue, is located in the capital city of the same state where  ""Basheer Bagh Palace"" is situated?","Rephrased “famous for it is spread across an area of 5” to “famous for being associated with an institution spread across an area of 5 acres” for grammatical clarity and contextual precision , removed  (known for former royal palace of the paigah nobles)"
"Which art piece, famous for indian miniature painting produced in the deccan region, is located in the capital city of the state where the sport “VVS Laxman” (known for indian former international cricketer and a former cricket commentator and pundit) is associated?",Deccan painting,"An Indian former international cricketer and a former cricket commentator and pundit.A right-handed batsman known for his elegant stroke play,played as a middle-order batsman in Test cricket,currently the Head of Cricket at the National Cricket Academy (NCA), and the head coach of the India Under-19 and India A teams.","Indian miniature painting produced in the Deccan region, in the various Muslim capitals of the Deccan sultanates that emerged from the break-up of the Bahmani Sultanate by 1520.These were Bijapur, Golkonda, Ahmadnagar, Bidar, and Berar.",sports:vvs_laxman,state:telangana,city:hyderabad,art:deccan_painting,cap_v1,"Which art piece, famous as an Indian miniature painting produced in the Deccan region, is associated with the capital city of the state where the sportsperson ""VVS Laxman""—is associated?","Removed  (known for indian former international cricketer and a former cricket commentator and pundit)  , Rephrased “famous for indian miniature painting produced in the deccan region” to “famous as an Indian miniature painting produced in the Deccan region” for grammatical clarity ,Replaced “the sport ‘VVS Laxman’” with “the sportsperson VVS Laxman” to correctly refer to the individual."
"Which personality, famous for indian actress who works primarily in hindi and telugu films, is located in the capital city of the state where the tourist attraction “Lumbini Park” (known for urban park of 3 hectares (7) is associated?",Tabu (actress),"A small public, urban park of 3 hectares (7.5 acres) located in the centre of the city and is in close proximity to other tourist attractions, such as Birla Mandir and Necklace Road, it attracts many visitors throughout the year. Boating is one of the best attractions and people go to the Buddha idol placed in the middle of the Tank Band in the boats.","An Indian actress who works primarily in Hindi and Telugu films,regarded as one of Hindi cinema's most accomplished actresses.She has often played troubled women, from fictional to literary, in both mainstream and independent cinema",tourism:lumbini_park,state:telangana,city:hyderabad,personalities:tabu_actress,cap_v1,"Which personality, famous as an Indian actress who works primarily in Hindi and Telugu films, was born in the capital city of the same  state where the tourist attraction ""Lumbini Park"" is located?","Rephrased “famous for indian actress who works primarily…” to “famous as an Indian actress who works primarily…” for grammatical clarity , removed (known for urban park of 3 hectares (7)"
"Which personality, famous for indian actress of film, is located in the capital city of the state where the tourist attraction “Banjara Hills” (known for urban commercial centre and) is associated?",Shabana Azmi,"An urban commercial centre and one of the most affluent neighbourhoods This area was a hilly forest and was least inhabited in the past. Only a few royal members of the Nizam's dynasty lived here, which was a hunting ground for them. This area now has completely been transformed to an urban commercial centre consisting of an array of high-end hotels, restaurants, night clubs and office buildings of global corporations.","An Indian actress of film, television and theatre. Her career in the Hindi film industry has spanned over 160 films, mostly within independent and neorealist parallel cinema, though her work extended to mainstream films as well as a number of international projects.She has won a record of five National Film Awards for Best Actress,in addition to five Filmfare Awards and several international accolades. The Government of India honoured her with the Padma Shri in 1998 and the Padma Bhushan in 2012.",tourism:banjara_hills,state:telangana,city:hyderabad,personalities:shabana_azmi,cap_v1,"Which personality, famous as an Indian film actress known for her work in parallel cinema and social activism, is associated with the capital city of the same state where the tourist attraction ""Banjara Hills"" is located?""","Replaced “famous for indian actress of film” with “famous as an Indian film actress known for her work in parallel cinema and social activism” to reflect Shabana Azmi’s legacy ,  removed  (known for urban commercial centre and)"
,,,,,,,Shivangi,,,
"Which personality, famous for prominent cultural auditorium for performing arts named after rabindranath tagore, is located in the capital city of the state where the art piece “Cheriyal scroll painting” (known for stylized religious cloth-scroll paintings) is associated?",Ravindra Bharathi,"A stylized religious cloth-scroll paintings,the scrolls are painted in a narrative format, much like a film roll or a comic strip, depicting stories from Indian mythology,and intimately tied to the shorter stories from the Puranas and Epics",A prominent cultural auditorium for performing arts named after Rabindranath Tagore.,art:cheriyal_scroll_painting,state:telangana,city:hyderabad,personalities:ravindra_bharathi,cap_v1,"Which personality, after whom a prominent cultural auditorium for performing arts named after Rabindranath Tagore is located in the capital city of the state associated with the art form 'Cheriyal scroll painting'?","removed unwanted brackets ""(known for stylized religious cloth-scroll paintings)"",corrected the question grammatically, changed ""rabindranath tagore"" with ""Rabindranath Tagore"" and fixed incorrect phrasing"
"Which personality, famous for indian politician and a former cricketer who also served as the indian, is located in the capital city of the state where the palace “Chowmahalla Palace” (known for of the nizams it was the seat of power of the asaf) is associated?",Mohammad Azharuddin,The palace of the Nizams It was the seat of power of the Asaf Jahi dynasty (1720-1948) and was the official residence of the Nizams during their reign.The palace has been converted into a museum and the ownership still lies with the family,"An Indian politician and a former cricketer who also served as the Indian national cricket team's captain. He was a right-handed middle order batter and an occasional medium fast bowler. He played 99 Test matches and 334 One Day Internationals for India. As a captain, he led the team to wins in the 1990-91 and 1995 Asia Cups and reached the semi-finals of the 1996 Cricket World Cup. He was considered as one of the best ODI batsmen in the world and one of the greatest of his era.",history:chowmahalla_palace,state:telangana,city:hyderabad,personalities:mohammad_azharuddin,cap_v1,"Which personality, an Indian politician and former cricketer who also served as the Indian, is associated with the capital city of the state where the Chowmahalla Palace is located?","removed unwanted brackets ""(known for of the nizams it was the seat of power of the asaf)"",fixed the grammar,capitalize Indian"
"Which tourist attraction, famous for historical royal garden in imphal west established, is located in the capital city of the state where the festival “Akshaya Tritiya” (known for annual jain and hindu spring festival) is associated?",Khogampatt Gardens,"An annual Jain and Hindu spring festival,falls on the third tithi (lunar day) of the bright half (Shukla Paksha) of the Hindu month of Vaisakha.A vintage religious token depicting Lord Rishabhanatha, accepting sugarcane juice from King Shreyans.This day is auspicious for those who buy rice, deposit money in a bank account, buy any kind of new things or vessels visiting temples, donating foods or special offers for poor people, or helping poor children for theirÂ educationÂ fees.",A historical royal garden in Imphal West established by Manipur royalty,festival:akshaya_tritiya,state:manipur,city:imphal,tourism:khogampatt_gardens,cap_v1,"Which tourist attraction, a famous historical royal garden located in Imphal West, is situated in the capital city of the state where the festival 'Akshaya Tritiya' is associated?","removed brackets ""(known for annual jain and hindu spring festival)"",corrected the question grammatically,capatilize ""imphal west"" with ""Imphal West"""
"Which dish, famous for made with apricots and custard, is located in the capital city of the state where the historic site “Khursheed Jah Devdi” (known for european styled architectural palace was built) is associated?",Qubani ka Meetha,"A European styled architectural palace was built by the Ancestors of Paigah noble Amir-Paigah Khursheed Jah Bahadur Shams-ul-Umra IV,Its interiors were once adorned with expensive carpets and exclusive chandeliers. It is located at Hussaini Alam.","A typical dessert made with apricots and custard, containing a mildly sour-smelling sweet apricot puree with Indian spices like cardamom and saffron and is served over creamy vanilla custard, on top of which the crunchy dry fruit garnish makes this dessert regal and scrumptious.",history:khursheed_jah_devdi,state:telangana,city:hyderabad,cuisine:qubani_ka_meetha,cap_v1,"Which dish, famous for being made with apricots and custard, is associated with the capital city of the state where the historic site 'Khursheed Jah Devdi' is located?","removed unwanted brackets ""(known for european styled architectural palace was built)"", changed ""famous for made with apricots and custard"" with ""famous for being made with apricots and custard"""
"Which tourist attraction, famous for urban park of 3 hectares (7, is located in the capital city of the state where the personality “Shyam Benegal” (known for screenwriter and documentary filmmaker) is associated?",Lumbini Park,"An Indian film director, screenwriter and documentary filmmaker.Often regarded as the pioneer of parallel cinema,widely considered as one of the greatest filmmakers post 1970s.He has received several accolades, including eighteen National Film Awards, a Filmfare Award and a Nandi Award.","A small public, urban park of 3 hectares (7.5 acres) located in the centre of the city and is in close proximity to other tourist attractions, such as Birla Mandir and Necklace Road, it attracts many visitors throughout the year. Boating is one of the best attractions and people go to the Buddha idol placed in the middle of the Tank Band in the boats.",personalities:shyam_benegal,state:telangana,city:hyderabad,tourism:lumbini_park,cap_v1,"Which tourist attraction, a famous urban park of 3 hectares (7 acres), is located in the capital city of the state with which the personality 'Shyam Benegal' is associated?","removed unwanted brackets ""(known for screenwriter and documentary filmmaker)"",changed ""famous for urban park of 3 hectares (7,"" with ""a famous urban park of 3 hectares (7 acres)"""
"Which historic site, famous for sprawling 19th-century european-style palace built, is located in the capital city of the state where the personality “Zakir Husain” (known for indian educationist and politician who served as the vice president of india) is associated?","Bella Vista, Hyderabad",An Indian educationist and politician who served as the vice president of India from 1962 to 1967 and president of India from 13 May 1967 until his death on 3 May 1969.,A sprawling 19th-century European-style palace built by the Paigah nobility.,personalities:zakir_husain,state:telangana,city:hyderabad,history:bella_vista_hyderabad,cap_v1,"Which historic site, a famous sprawling 19th-century European-style palace, is located in the capital city of the state with which the personality 'Zakir Husain' is associated?","removed unwanted brackets  ""(known for indian educationist and politician who served as the vice president of india)"",corrected the question grammatically,capatilize European"
"Which personality, famous for indian dialogue writer turned actor known for his works in hindi cinema, is located in the capital city of the state where the historic site “Taramati Baradari” (known for historical sarai as part of ibrahim bagh) is associated?",Mast Ali,"A historical sarai as part of Ibrahim Bagh,constructed on the banks of the Musi river.","An Indian dialogue writer turned actor known for his works in Hindi cinema, Telugu cinema, and few Bhojpuri films.He is best known for his works in The Angrez (as Saleem Pheku),Hyderabad Nawabs, Berozgaar, Hungama in Dubai and Zabardast to name a few.",history:taramati_baradari,state:telangana,city:hyderabad,personalities:mast_ali,cap_v1,"Which personality, an Indian dialogue writer turned actor known for his works in Hindi cinema, is associated with the capital city of the state where the historic site 'Taramati Baradari' is located?","removed brackets ""(known for historical sarai as part of ibrahim bagh)"",Fixed incorrect phrasing ""famous for indian dialogue writer turned actor"" with ""an Indian dialogue writer turned actor"",capitalized Hindi"
"Which tourist attraction, famous for built during the 17th century and is a state-protected monument, is located in the capital city of the state where the costume “Khara dupatta” (known for traditional wedding dress of hyderabadi muslim brides in the indian subcontinent) is associated?","Makkah Masjid, Hyderabad","The traditional wedding dress of hyderabadi Muslim brides in the Indian subcontinent. It is an elaborate wedding ensemble comprising a kurta (tunic), chooridaar (extra-long slim pants that gather at the ankles), and a 6-yard dupatta (stole or veil).","The largest mosque,built during the 17th century and is a state-protected monument.",costume:khara_dupatta,state:telangana,city:hyderabad,tourism:makkah_masjid_hyderabad,cap_v1,"Which tourist attraction, built during the 17th century and now a state-protected monument, is located in the capital city of the state where the costume 'Khara dupatta' is associated?","removed unwanted brackets ""(known for traditional wedding dress of hyderabadi muslim brides in the indian subcontinent)"",changed ""famous for built during the 17th century"" with ""built during the 17th century"""
"Which monastery, famous for gompa is the seat in exile of the gyalwang karmapa, is located in the capital city of the state where the art piece “Gangtok Carpet Weaving” (known for hand knotted and woven in fixed vertical looms) is associated?",Rumtek Monastery,"Hand knotted and woven in fixed vertical looms, which are kept standing with the support of a wall, mainly by women in Sikkim","A gompa is the seat in exile of the Gyalwang Karmapa, inaugurated in 1966 by the 16th Karmapa. It is also a focal point for the sectarian tensions within the Karma Kagyu school of Tibetan Buddhism that characterize the 17th Karmapa controversy",art:gangtok_carpet_weaving,state:sikkim,city:gangtok,tourism:rumtek_monastery,cap_v1,"Which monastery, a famous gompa and the seat in exile of the Gyalwang Karmapa, is located in the capital city of the state where the art form 'Gangtok Carpet Weaving' is associated?","removed unwanted brackets ""(known for hand knotted and woven in fixed vertical looms)"",fixed incorrect phrasing"
"Which personality, famous for indian actor and film producer who works in hindi cinema, is located in the capital city of the state where the church “Cathedral Church of the Redemption” (known for that was built between 1927 and 1931) is associated?",Shah Rukh Khan,"A Church that was built between 1927 and 1931, located east of Parliament House and RashtrapatiÂ Bhavan","An Indian actor and film producer who works in Hindi cinema,referred to in the media as the ""Baadshah of Bollywood"" and ""King Khan"", appeared in more than 100 films, and earned numerous accolades, including 14 Filmfare Awards, awarded the Padma Shri by the Government of India, as well as the Order of Arts and Letters and Legion of Honour by the GovernmentÂ ofÂ France",tourism:cathedral_church_redemption,state:delhi,city:new_delhi,personalities:shah_rukh_khan,cap_v1,"Which personality, an Indian actor and film producer who works in Hindi cinema, is associated with the capital city of the state where the church 'Cathedral Church of the Redemption' is located?","removed brackets ""(known for that was built between 1927 and 1931)"",fixed incorrect phrasing,capitalized Hindi"
"Which sport, famous for it can host 30, is located in the capital city of the state where the art piece “Gangtok Carpet Weaving” (known for hand knotted and woven in fixed vertical looms) is associated?",Paljor Stadium,"Hand knotted and woven in fixed vertical looms, which are kept standing with the support of a wall, mainly by women in Sikkim","A football stadium,it can host 30,000 spectators.Besides earlier hosting the I-League and the I-League 2, the stadium also hosts matches of various local divisions and tournaments",art:gangtok_carpet_weaving,state:sikkim,city:gangtok,sports:paljor_stadium,cap_v1,"Which sport, famous for it can host 30, is located in the capital city of the state where the art piece “Gangtok Carpet Weaving” is associated?","removed unwanted brackets ""(known for hand knotted and woven in fixed vertical looms)"""
